share_code,trade_date,weight
002236.SZ,2020-09-30,0.226
600109.SH,2020-09-30,0.226
000938.SZ,2020-09-30,0.223
601108.SH,2020-09-30,0.22
002493.SZ,2020-09-30,0.217
600352.SH,2020-09-30,0.216
601901.SH,2020-09-30,0.212
300033.SZ,2020-09-30,0.21
002024.SZ,2020-09-30,0.207
601225.SH,2020-09-30,0.205
601555.SH,2020-09-30,0.203
600383.SH,2020-09-30,0.201
600089.SH,2020-09-30,0.2
601877.SH,2020-09-30,0.199
002624.SZ,2020-09-30,0.198
601878.SH,2020-09-30,0.196
000768.SZ,2020-09-30,0.195
601155.SH,2020-09-30,0.193
000860.SZ,2020-09-30,0.191
000783.SZ,2020-09-30,0.19
000977.SZ,2020-09-30,0.188
603501.SH,2020-09-30,0.187
600176.SH,2020-09-30,0.186
300408.SZ,2020-09-30,0.184
601933.SH,2020-09-30,0.183
601669.SH,2020-09-30,0.176
603160.SH,2020-09-30,0.176
300144.SZ,2020-09-30,0.175
002602.SZ,2020-09-30,0.174
002202.SZ,2020-09-30,0.173
000066.SZ,2020-09-30,0.172
002008.SZ,2020-09-30,0.172
600926.SH,2020-09-30,0.171
601100.SH,2020-09-30,0.171
603369.SH,2020-09-30,0.171
000069.SZ,2020-09-30,0.17
601919.SH,2020-09-30,0.17
601985.SH,2020-09-30,0.167
002456.SZ,2020-09-30,0.166
601138.SH,2020-09-30,0.165
600183.SH,2020-09-30,0.162
603993.SH,2020-09-30,0.161
000425.SZ,2020-09-30,0.16
000625.SZ,2020-09-30,0.16
000786.SZ,2020-09-30,0.16
600010.SH,2020-09-30,0.16
601800.SH,2020-09-30,0.16
600061.SH,2020-09-30,0.158
600029.SH,2020-09-30,0.157
600522.SH,2020-09-30,0.157
002179.SZ,2020-09-30,0.156
002841.SZ,2020-09-30,0.156
601066.SH,2020-09-30,0.156
603899.SH,2020-09-30,0.154
000596.SZ,2020-09-30,0.153
600886.SH,2020-09-30,0.15
601216.SH,2020-09-30,0.149
000728.SZ,2020-09-30,0.148
600760.SH,2020-09-30,0.147
600011.SH,2020-09-30,0.146
600795.SH,2020-09-30,0.146
002601.SZ,2020-09-30,0.145
600340.SH,2020-09-30,0.145
